Name	Coefficient	Coefficient_std_error	Coefficient_P_value
A05.360.319.679.490.Endometrium	-1.17792239484e-09	9.6316038082e-10	0.889330690947
A11.329.830.Stromal.Cells	-1.32290204524e-09	1.04650901363e-09	0.896904646518
A10.272.Epithelium	-1.2143686846e-09	9.15274489949e-10	0.907709409919
A11.436.Epithelial.Cells	-1.71861600639e-09	1.28122997916e-09	0.910101412844
A11.872.190.260.Embryoid.Bodies	-1.60969224557e-09	1.19098471976e-09	0.911742606714
A05.360.490.Germ.Cells	-1.18162113872e-09	8.62418032357e-10	0.914676171854
A15.382.490.315.583.Neutrophils	-1.29621733801e-09	9.42612557261e-10	0.915454843776
A05.360.319.887.Vulva	-1.41373845402e-09	1.02320782659e-09	0.916463909839
A14.549.885.Tongue	-1.29657242003e-09	9.34466742902e-10	0.917355294153
A02.835.583.443.800.Synovial.Membrane	-1.43754039063e-09	1.00177666125e-09	0.924355154323
A15.378.316.Bone.Marrow.Cells	-1.62151834951e-09	1.11840111864e-09	0.926450383123
A14.549.Mouth	-1.30319009995e-09	8.75693935094e-10	0.931648269789
A05.360.319.679.256.Cervix.Uteri	-1.36450405197e-09	9.11363843297e-10	0.932830829508
A11.627.624.249.Monocyte.Macrophage.Precursor.Cells	-1.48887508999e-09	9.92751202061e-10	0.933159953165
A11.329.Connective.Tissue.Cells	-1.64030157215e-09	1.02574884084e-09	0.945103688248
A08.186.211.730.317.357.352.435.Hypothalamo.Hypophyseal.System	-1.64099229508e-09	1.0101311732e-09	0.947869040149
A17.815.Skin	-1.5923969179e-09	9.62309162225e-10	0.951014059205
A14.549.167.646.Periodontium	-1.75274681473e-09	1.05860563891e-09	0.951109994262
A15.145.229.188.Blood.Platelets	-1.67250066323e-09	9.87987540533e-10	0.954756635402
A04.531.520.Nasal.Mucosa	-1.43990941251e-09	8.40264888306e-10	0.956702337928
A05.810.890.Urinary.Bladder	-1.83548027709e-09	1.03446336855e-09	0.961995780454
A14.724.557.Nasopharynx	-1.60759279915e-09	8.88571989026e-10	0.964789013676
A15.382.812.260.Dendritic.Cells	-2.00183727892e-09	1.10089444722e-09	0.965496466377
A08.186.211.730.317.357.Hypothalamus	-2.04752954335e-09	1.04739683987e-09	0.974701067045
A02.835.583.443.800.800.Synovial.Fluid	-2.28393637327e-09	1.16020306779e-09	0.975498527953
A07.231.Blood.Vessels	-2.29290172102e-09	1.16123802593e-09	0.975839362615
A02.165.Cartilage	-2.16635609538e-09	1.07154047312e-09	0.978397418976
A11.872.580.Mesenchymal.Stem.Cells	-2.23850749279e-09	1.07870663593e-09	0.981014945824
A14.549.167.Dentition	-2.15833570535e-09	1.03467111979e-09	0.981511202782
A07.231.114.Arteries	-2.54526269923e-09	1.21836864284e-09	0.981649485241
A10.615.550.Mucous.Membrane	-2.14850083669e-09	1.0059895119e-09	0.983648429095
A11.620.520.Myocytes..Smooth.Muscle	-2.66944347216e-09	1.18631723314e-09	0.987781671514
A15.382.812.Mononuclear.Phagocyte.System	-2.2726424283e-09	9.62751749156e-10	0.990876550891
A10.690.467.Muscle..Smooth	-2.91513602005e-09	1.14987030723e-09	0.994380631051
A15.378.316.580.Monocytes	-2.76512154109e-09	1.04898095721e-09	0.995805604606
A15.382.812.522.Macrophages	-2.53629155709e-09	9.59748266367e-10	0.995887161029
A15.382.680.Phagocytes	-2.63026093295e-09	9.88173378882e-10	0.996113108791
A11.329.228.Fibroblasts	-2.58387103628e-09	9.70715183221e-10	0.996114051795
A10.615.789.Serous.Membrane	-2.42687620788e-09	8.86689543679e-10	0.996899958966
A07.541.510.110.Aortic.Valve	-2.31127033649e-09	8.29872666812e-10	0.997324359312
A10.165.450.300.Cicatrix	-2.94808534537e-09	1.0025359895e-09	0.998362261504
A15.145.Blood	-3.14170066055e-09	1.05944757362e-09	0.99848862074
A15.145.229.Blood.Cells	-3.14039779864e-09	1.05070879563e-09	0.998599794644
A10.165.450.300.425.Keloid	-3.12679362247e-09	1.03346193042e-09	0.998759104598
