Name	Coefficient	Coefficient_std_error	Coefficient_P_value
B1a.PC	-5.87866052333e-10	1.10554753817e-09	0.702547648679
BA.Sp	-4.97439291599e-10	9.21894922745e-10	0.705257851894
SC.CDP.BM	-7.29433893481e-10	1.29311415486e-09	0.713653855657
T.8Eff.Sp.OT1.d6.VSVOva	-5.91270786564e-10	9.82350482429e-10	0.726377625487
preT.DN2-3.Th	-9.58676488285e-10	1.51510241342e-09	0.736550559911
Ep.8wk.CEC.Sca1+.Th	-7.01020939532e-10	1.05583642665e-09	0.746638341509
MF.103-11b+.Salm3.SI	-1.25765388148e-09	1.85331107986e-09	0.75130381265
T.8Eff.Sp.OT1.d10.LisOva	-8.98045158626e-10	1.2386791235e-09	0.765774676702
ILC1.CD127+.SI	-7.39618428418e-10	1.01914623675e-09	0.765995870185
T.8Mem.LN	-7.19900956421e-10	9.55929218022e-10	0.774302153062
Tgd.vg5-.IEL	-7.12944512869e-10	9.19854675556e-10	0.780848522542
CD4.5h.LN	-1.00775758252e-09	1.27040592772e-09	0.786185761699
T.4Mem.Sp	-9.54221621586e-10	1.19291788771e-09	0.788117234769
T.8Eff.Sp.OT1.d15.LisOva	-8.79554566158e-10	1.09407269915e-09	0.789280427731
FRC.Cad11.WT.v2	-1.03004412317e-09	1.27327987715e-09	0.790733550457
ILC3.NKp46+.Rorgthi.SI	-7.49414650058e-10	9.22097147078e-10	0.791813137246
ILC3.NKp46-.4+.SI	-6.96863651984e-10	8.53439358282e-10	0.792903075706
Tgd.vg2-.act.Sp	-7.99672466065e-10	9.70056376286e-10	0.795131542765
B.Fo.PC	-8.77507051364e-10	1.05283443971e-09	0.797710447579
NK.CD127-.SI	-8.56239565991e-10	1.01774059923e-09	0.799914016862
LEC.SLN.v2	-9.26115865521e-10	1.08955646512e-09	0.802335637796
MF.BM	-1.02643105951e-09	1.19980022515e-09	0.803863251372
MC.To	-7.38791110927e-10	8.57257103066e-10	0.805603435202
SC.ST34F.BM	-8.90743136927e-10	1.02061286242e-09	0.808601191992
DC.8-4-11b+.Sp	-8.23475095272e-10	9.20634459166e-10	0.814463366006
MEChi.GFP+.Adult	-7.21799054409e-10	7.9851956273e-10	0.816981503862
